jam,suhu_ruangan,jumlah_orang,suhu_ac
0,29.1,0,30
1,29.3,0,30
2,29.4,0,30
3,29.1,0,30
4,28.8,0,30
5,28.4,0,30
6,28.7,0,30
7,28.4,3,24
8,28.6,2,24
9,28.4,2,24
10,28.3,6,22
11,28.5,6,22
12,28.6,7,22
13,28.7,3,24
14,28.4,4,23
15,28.4,6,22
16,28.3,8,22
17,28.1,2,24
18,28.6,3,24
19,28.3,1,24
20,28.5,3,24
21,28.2,0,30
22,28.6,1,24
23,28.9,1,24
0,28.3,0,30
1,28.4,0,30
2,28.4,0,30
3,28.1,0,30
4,28.1,0,30
5,27.7,0,30
6,28.0,0,30
7,28.2,2,24
8,28.2,2,24
9,28.3,2,24
10,28.1,8,22
11,28.4,4,23
12,28.4,4,23
13,28.6,6,22
14,28.6,8,22
15,29.0,3,24
16,29.1,7,21
17,29.2,2,23
18,29.2,4,22
19,29.4,4,22
20,29.1,1,23
21,28.8,0,30
22,29.2,0,30
23,29.1,1,23
0,28.2,0,30
1,28.0,0,30
2,28.2,0,30
3,28.4,0,30
4,28.5,0,30
5,28.8,0,30
6,28.9,0,30
7,29.3,3,23
8,29.0,2,24
9,28.9,3,24
10,29.3,7,21
11,29.8,8,21
12,29.8,3,23
13,30.3,8,20
14,30.5,7,20
15,30.7,8,20
16,30.9,3,22
17,30.6,2,22
18,30.4,1,22
19,30.6,4,21
20,30.8,4,21
21,31.2,1,20
22,31.3,0,30
23,31.5,0,30
0,28.1,0,30
1,27.9,0,30
2,27.6,0,30
3,27.9,0,30
4,28.1,0,30
5,28.2,0,30
6,28.5,0,30
7,28.9,2,24
8,28.6,2,24
9,28.5,1,24
10,28.4,3,24
11,28.5,5,23
12,28.5,6,22
13,28.2,5,23
14,28.3,5,23
15,28.6,7,22
16,28.6,4,23
17,28.4,3,24
18,28.5,4,23
19,28.4,1,24
20,28.8,2,24
21,28.6,1,24
22,28.6,0,30
23,28.3,0,30
0,29.8,0,30
1,30.2,0,30
2,30.1,0,30
3,29.7,0,30
4,29.6,0,30
5,29.7,0,30
6,29.8,0,30
7,29.8,1,23
8,29.6,2,23
9,29.9,3,23
10,29.8,5,22
11,29.9,8,21
12,30.4,6,20
13,30.6,8,20
14,30.4,3,22
15,30.3,5,21
16,30.8,7,20
17,31.0,4,21
18,31.2,3,20
19,31.1,3,20
20,30.9,4,21
21,31.1,0,30
22,31.1,1,20
23,30.8,1,22
0,28.4,0,30
1,28.7,0,30
2,29.0,0,30
3,28.8,0,30
4,28.9,0,30
5,29.2,0,30
6,29.2,0,30
7,29.0,1,24
8,29.4,2,23
9,29.7,1,23
10,29.6,3,23
11,29.9,5,22
12,30.3,5,21
13,30.7,8,20
14,30.5,6,20
15,31.0,6,20
16,31.2,6,18
17,31.0,4,21
18,31.5,3,20
19,31.3,2,20
20,31.3,2,20
21,31.4,0,30
22,31.1,0,30
23,30.9,1,22
0,28.8,0,30
1,28.9,0,30
2,29.2,0,30
3,29.3,0,30
4,29.4,0,30
5,29.1,0,30
6,29.0,0,30
7,28.9,3,24
8,29.3,2,23
9,29.3,1,23
10,29.4,5,22
11,29.6,7,21
