timestamp,jam,voltage,current,power,energy,suhu_ruangan,jumlah_orang,suhu_ac,status
2026-05-01 00:00:00,0,218.6,1.44,315.04,0.0009,24.6,2,26,NORMAL
2026-05-01 00:00:10,0,216.5,2.65,574.15,0.0016,28.4,1,24,NORMAL
2026-05-01 00:00:20,0,222.7,3.58,796.29,0.0022,32.0,2,22,NORMAL
2026-05-01 00:00:30,0,221.3,2.39,529.03,0.0015,29.5,1,24,NORMAL
2026-05-01 00:00:40,0,220.1,2.38,524.47,0.0015,27.1,3,24,NORMAL
2026-05-01 00:00:50,0,215.6,1.53,328.98,0.0009,24.7,2,26,NORMAL
2026-05-01 00:01:00,0,220.6,3.15,695.25,0.0019,27.9,1,24,NORMAL
2026-05-01 00:01:10,0,217.7,3.09,673.63,0.0019,29.1,1,24,NORMAL
2026-05-01 00:01:20,0,220.6,0.05,10.88,0.0,26.3,0,OFF,NORMAL
2026-05-01 00:01:30,0,223.2,1.92,429.41,0.0012,25.3,3,26,NORMAL
2026-05-01 00:01:40,0,219.4,0.08,16.75,0.0,25.3,0,OFF,NORMAL
2026-05-01 00:01:50,0,222.3,1.38,305.87,0.0008,24.5,2,26,NORMAL
2026-05-01 00:02:00,0,220.0,1.71,376.32,0.001,24.4,3,26,NORMAL
2026-05-01 00:02:10,0,221.6,2.08,460.53,0.0013,24.9,1,26,NORMAL
2026-05-01 00:02:20,0,224.7,0.06,14.3,0.0,30.5,0,OFF,NORMAL
2026-05-01 00:02:30,0,220.7,0.04,8.87,0.0,30.4,0,OFF,NORMAL
2026-05-01 00:02:40,0,224.3,4.16,932.09,0.0026,31.2,1,22,NORMAL
2026-05-01 00:02:50,0,217.6,2.57,559.19,0.0016,27.8,1,24,NORMAL
2026-05-01 00:03:00,0,222.8,3.09,688.61,0.0019,29.3,3,24,NORMAL
2026-05-01 00:03:10,0,220.5,3.76,828.73,0.0023,30.5,3,22,NORMAL
2026-05-01 00:03:20,0,223.7,1.63,364.65,0.001,26.2,3,26,NORMAL
2026-05-01 00:03:30,0,218.0,3.98,867.19,0.0024,31.7,2,22,NORMAL
2026-05-01 00:03:40,0,217.4,3.81,827.21,0.0023,32.0,2,22,NORMAL
2026-05-01 00:03:50,0,217.7,1.6,347.58,0.001,25.9,3,26,NORMAL
2026-05-01 00:04:00,0,217.4,1.8,390.25,0.0011,24.6,3,26,NORMAL
2026-05-01 00:04:10,0,218.2,1.71,372.75,0.001,26.0,3,26,NORMAL
2026-05-01 00:04:20,0,216.9,1.9,413.07,0.0011,24.0,3,26,NORMAL
2026-05-01 00:04:30,0,155.6370090859121,3.92,609.76,0.0017,28.6,1,24,ANOMALI
2026-05-01 00:04:40,0,218.6,4.05,885.94,0.0025,30.6,2,22,NORMAL
2026-05-01 00:04:50,0,220.7,0.03,5.74,0.0,24.8,0,OFF,NORMAL
2026-05-01 00:05:00,0,223.1,1.41,315.35,0.0009,26.5,2,26,NORMAL
2026-05-01 00:05:10,0,217.3,1.43,310.55,0.0009,26.1,3,26,NORMAL
2026-05-01 00:05:20,0,216.6,0.04,9.06,0.0,24.9,0,OFF,NORMAL
2026-05-01 00:05:30,0,216.6,2.3,498.78,0.0014,25.5,1,26,NORMAL
2026-05-01 00:05:40,0,222.1,0.07,14.82,0.0,24.4,0,OFF,NORMAL
2026-05-01 00:05:50,0,218.1,3.17,690.35,0.0019,29.2,2,24,NORMAL
2026-05-01 00:06:00,0,216.4,1.76,380.47,0.0011,26.8,2,26,NORMAL
2026-05-01 00:06:10,0,219.7,1.85,406.06,0.0011,26.3,1,26,NORMAL
2026-05-01 00:06:20,0,224.0,0.05,11.94,0.0,31.6,0,OFF,NORMAL
2026-05-01 00:06:30,0,215.4,0.05,9.95,0.0,30.4,0,OFF,NORMAL
2026-05-01 00:06:40,0,219.8,2.78,610.28,0.0017,28.4,1,24,NORMAL
2026-05-01 00:06:50,0,221.2,4.13,913.54,0.0025,31.0,3,22,NORMAL
2026-05-01 00:07:00,0,223.7,2.49,556.11,0.0015,28.1,2,24,NORMAL
2026-05-01 00:07:10,0,220.6,4.03,889.88,0.0025,30.9,2,22,NORMAL
